SG,random-acc,random-auc,len_hf1,len_sample,count-class-0,count-class-1,mean_hf1,mean_nothf,hf1_tvalue_nothf,hf1_pvalue_nothf,hf1_tvalue_oneSamp,hf1_pvalue_oneSamp,low_cluster_mean,not_low_cluster_mean,low_pvalue_all
SG0-cktosd,0.765091864,0.82833985,158,158,50,108,137.1329114,117.602649,7.405266581,3.48E-13,6.509235285,9.66E-10,135.757812,1.15E+02,1.17E-20
SG1-cktosd,0.797900262,0.874716222,216,216,68,148,136.1064815,115.9340659,8.602287117,4.45E-17,6.753974511,1.32E-10,,,
SG2-cktosd,0.763779528,0.811487795,132,132,45,87,132.4621212,119.3873016,4.529325061,6.87E-06,4.143691188,6.09E-05,,,
SG3-cktosd,0.775590551,0.843195019,164,164,49,115,136.945122,117.458194,7.496591957,1.83E-13,6.354354535,2.01E-09,,,
SG4-cktosd,0.792650919,0.861322653,184,184,57,127,136.8586957,116.8114187,8.075338301,2.63E-15,6.575804211,4.91E-10,,,
