SG,Rule,SG_size,count_Class_0,count_Class_1,Accuracy,AUROC,len_hf1,len_hf2,len_nothf,mean_hf1,mean_hf2,mean_nothf,hf1_tvalue_hf2,hf1_pvalue_hf2,hf1_tvalue_nothf,hf1_pvalue_nothf,hf1_tvalue_oneSamp,hf1_pvalue_oneSamp
SG0_Class_0,IF Age<=29.0 AND Serum-insulin<=159.0 AND Body-mass<=42.0 THEN Class=0 ,293,253,40,0.7559055118110236,0.8276678941573972,41,252,721,127.8780487804878,103.73412698412699,121.29819694868239,6.806070945462125,5.724050359705144e-11,0.17980216982735261,0.17980216982735261,1.502659891384426,0.14078123942969442
SG1_Class_0,IF Age<=29.0 AND Serum-insulin<=465.0 AND Tricept-fold<=33.0 AND DBP>=24.0 THEN Class=0 ,282,243,39,0.7349081364829396,0.8126077218025132,40,242,722,132.725,106.6198347107438,121.0387811634349,6.518593012663928,3.295509999061183e-10,0.018390644923208823,0.018390644923208823,2.2487177924751935,0.03025401218949428
SG2_Class_0,IF Serum-insulin<=122.0 AND DPF<=0.731 AND Body-mass<=47.9 AND DBP>=24.0 THEN Class=0 ,444,339,105,0.7624671916010499,0.8339470786986067,127,317,635,130.44094488188978,107.47003154574132,119.89448818897638,8.250884835654123,1.8237684906875948e-15,0.0003654188439378215,0.0003654188439378215,3.2831359493455983,0.0013288897875619813
SG0_Class_1,IF Age>=29.0 AND Body-mass>=27.4 AND Tricept-fold<=52.0 THEN Class=1 ,319,142,177,0.7322834645669292,0.7676853574275844,137,182,625,130.98540145985402,130.12087912087912,119.6064,0.2401837455834099,0.8103430584365421,7.305900923859796e-05,7.305900923859796e-05,3.6827615708632555,0.0003318932234209195
SG1_Class_1,IF Age>=25.0 AND Body-mass>=26.4 THEN Class=1 ,452,230,222,0.7559055118110236,0.8299988610910747,178,274,584,132.03370786516854,124.99270072992701,118.48801369863014,2.3540642133653797,0.01899838609084246,1.7721473878562813e-07,1.7721473878562813e-07,4.591894110450101,8.308619731637794e-06
SG2_Class_1,IF Body-mass>=29.9 THEN Class=1 ,473,255,218,0.7611548556430446,0.8320337117041874,175,298,587,134.02857142857144,122.5503355704698,117.96252129471891,3.846921982708199,0.00013607944120498945,6.463646035505527e-10,6.463646035505527e-10,5.2346749051005546,4.7204371231971306e-07
