SG,Rule,SG_size,count-cluster-1,count-cluster-2,Accuracy,AUROC,len_hf1,len_hf2,len_nothf,mean_hf1,mean_hf2,mean_nothf,hf1_tvalue_hf2,hf1_pvalue_hf2,hf1_tvalue_nothf,hf1_pvalue_nothf,hf1_tvalue_oneSamp,hf1_pvalue_oneSamp
SG0_Class_0,IF Age<=29.0 AND Serum-insulin<=159.0 AND Body-mass<=42.0 THEN Class=0 ,293,44,249,0.7427821522309711,0.8077218025131923,44,249,718,128.4318181818182,103.34538152610442,121.23676880222841,7.367587120768821,1.8030599414233483e-12,0.12937304348762577,0.12937304348762577,1.658040105336471,0.10458805218693555
SG1_Class_0,IF Age<=29.0 AND Serum-insulin<=465.0 AND Tricept-fold<=33.0 AND DBP>=24.0 THEN Class=0 ,282,44,238,0.7191601049868767,0.7871758855016895,44,238,718,133.70454545454547,106.0,120.91364902506963,7.3177225564912085,2.6744091061132856e-12,0.006923393973426887,0.006923393973426887,2.551628136584524,0.014359882768021056
SG2_Class_0,IF Serum-insulin<=122.0 AND DPF<=0.731 AND Body-mass<=47.9 AND DBP>=24.0 THEN Class=0 ,444,120,324,0.7677165354330708,0.8534072358680385,120,324,642,131.58333333333334,107.54320987654322,119.79595015576324,8.523745067752804,2.4645409657342517e-16,9.765918110792317e-05,9.765918110792317e-05,3.4426488490480884,0.0007957506999975323
SG0_Class_1,IF Age>=29.0 AND Body-mass>=27.4 AND Tricept-fold<=52.0 THEN Class=1 ,319,124,195,0.7467191601049868,0.7848487149310961,124,195,638,128.94354838709677,131.47692307692307,120.23510971786834,-0.6935675114470956,0.4884613540245434,0.0036071277663677075,0.0036071277663677075,2.8324435806382913,0.005399348907070697
SG1_Class_1,IF Age>=25.0 AND Body-mass>=26.4 THEN Class=1 ,452,176,276,0.7808398950131233,0.8377244599673513,176,276,586,131.03977272727272,125.67753623188406,118.83276450511946,1.7845496157438334,0.07500797587092517,2.883117755184476e-06,2.883117755184476e-06,4.205715996863845,4.147945676522625e-05
SG2_Class_1,IF Body-mass>=29.9 THEN Class=1 ,473,195,278,0.7769028871391076,0.8450324589043696,195,278,567,135.12307692307692,120.9568345323741,117.01940035273368,4.885652989489478,1.415236365969048e-06,3.948475531907255e-13,3.948475531907255e-13,5.928353232537987,1.3775753726372589e-08
